ID Empleado;Nombre Completo;Email;Nombre de Supervisor;Monto a pagar
1;Denis Tyler;denis_tyler@biz.com;Denis Tyler;4278.911400
2;Clarissa Parker;clarissa_parker@biz.com;Denis Tyler;2880.675000
3;Harmony Rycroft;harmony_rycroft@biz.com;Denis Tyler;4265.370600
4;Alan Patel;alan_patel@biz.com;Denis Tyler;4283.756700
5;Domenic Eaton;domenic_eaton@biz.com;Denis Tyler;4529.100000
6;Boris Wallace;boris_wallace@biz.com;Clarissa Parker;2804.768400
7;Maria Alexander;maria_alexander@biz.com;Clarissa Parker;4185.381300
8;Kurt Wright;kurt_wright@biz.com;Clarissa Parker;3559.435500
9;Dani James;dani_james@biz.com;Harmony Rycroft;4534.503300
10;Caitlyn Allen;caitlyn_allen@biz.com;Harmony Rycroft;4421.127000
11;Erick Uttley;erick_uttley@biz.com;Harmony Rycroft;3184.422300
12;Carmen Zaoui;carmen_zaoui@biz.com;Harmony Rycroft;3540.751800
13;Bernadette Dickson;bernadette_dickson@biz.com;Alan Patel;3810.442500
14;Clint Cork;clint_cork@biz.com;Alan Patel;4343.741700
15;Stella Rossi;stella_rossi@biz.com;Alan Patel;4206.836400
16;Angela Thornton;angela_thornton@biz.com;Alan Patel;3459.786000
17;Cameron Pickard;cameron_pickard@biz.com;Domenic Eaton;3834.901500
18;Enoch Umney;enoch_umney@biz.com;Domenic Eaton;4161.731400
19;Bryon Plant;bryon_plant@biz.com;Domenic Eaton;3843.745800
20;Charlize Horton;charlize_horton@biz.com;Domenic Eaton;3450.393000
21;Doug Kelly;doug_kelly@biz.com;Domenic Eaton;2823.052200
22;Elijah Eyres;elijah_eyres@biz.com;Domenic Eaton;3825.843300
23;Cassandra Connell;cassandra_connell@biz.com;Boris Wallace;3806.006400
24;Deborah Nurton;deborah_nurton@biz.com;Boris Wallace;3169.951500
25;Teagan Roberts;teagan_roberts@biz.com;Boris Wallace;3786.569400
26;Boris Spencer;boris_spencer@biz.com;Maria Alexander;3904.614300
27;Sabrina Robinson;sabrina_robinson@biz.com;Maria Alexander;4069.466100
28;Jacob Driscoll;jacob_driscoll@biz.com;Maria Alexander;4442.163600
29;Josh Downing;josh_downing@biz.com;Maria Alexander;2923.538700
30;Manuel Griffiths;manuel_griffiths@biz.com;Kurt Wright;3463.617600
31;Maddison Silva;maddison_silva@biz.com;Kurt Wright;3348.204600
32;Camellia Watson;camellia_watson@biz.com;Kurt Wright;3611.915400
33;Bob Booth;bob_booth@biz.com;Dani James;4402.554900
34;George Cassidy;george_cassidy@biz.com;Dani James;4016.186400
35;Hayden Collins;hayden_collins@biz.com;Dani James;3325.949700
36;Phillip Curtis;phillip_curtis@biz.com;Dani James;3825.238800
37;Barney Preston;barney_preston@biz.com;Caitlyn Allen;3290.377200
38;Hayden Bishop;hayden_bishop@biz.com;Caitlyn Allen;3381.749700
39;Abbey Goodman;abbey_goodman@biz.com;Caitlyn Allen;4269.509100
40;Caydence Mould;caydence_mould@biz.com;Caitlyn Allen;4556.990700
41;Josh Seymour;josh_seymour@biz.com;Erick Uttley;3520.803300
42;Penelope York;penelope_york@biz.com;Erick Uttley;2987.931900
43;Chester Carter;chester_carter@biz.com;Carmen Zaoui;2927.974800
44;Rose Abbey;rose_abbey@biz.com;Carmen Zaoui;3320.490600
45;Andrea Harvey;andrea_harvey@biz.com;Carmen Zaoui;3447.584400
46;Alice Hastings;alice_hastings@biz.com;Bernadette Dickson;3831.748800
47;Emerald Boyle;emerald_boyle@biz.com;Bernadette Dickson;4019.962200
48;Anthony Andersson;anthony_andersson@biz.com;Bernadette Dickson;3723.115500
49;Nick Lomax;nick_lomax@biz.com;Bernadette Dickson;4228.179900
50;Boris Doherty;boris_doherty@biz.com;Clint Cork;3251.912400
51;David Bowen;david_bowen@biz.com;Clint Cork;4367.503200
52;Sabrina Morris;sabrina_morris@biz.com;Clint Cork;4460.689200
53;Rhea Dempsey;rhea_dempsey@biz.com;Clint Cork;2905.403700
54;Katelyn White;katelyn_white@biz.com;Clint Cork;2881.149300
55;Leilani Reese;leilani_reese@biz.com;Stella Rossi;4210.575000
56;Roger Wild;roger_wild@biz.com;Charlize Horton;3135.606600
57;Ryan Grant;ryan_grant@biz.com;Charlize Horton;3397.885200
58;Kate Waterson;kate_waterson@biz.com;Charlize Horton;4285.607400
59;Lynn Martin;lynn_martin@biz.com;Doug Kelly;4445.437200
60;Benjamin Dowson;benjamin_dowson@biz.com;Doug Kelly;3037.221900
61;Domenic Yoman;domenic_yoman@biz.com;Doug Kelly;4000.804200
62;Jacob Carter;jacob_carter@biz.com;Elijah Eyres;4564.040100
63;Javier Holmes;javier_holmes@biz.com;Elijah Eyres;4090.335300
64;Henry Roscoe;henry_roscoe@biz.com;Elijah Eyres;3923.725800
65;Chadwick Bennett;chadwick_bennett@biz.com;Deborah Nurton;4576.409100
66;Liam Knight;liam_knight@biz.com;Deborah Nurton;3161.200200
67;Ramon Ellison;ramon_ellison@biz.com;Deborah Nurton;3675.350700
68;Alan Wilde;alan_wilde@biz.com;Boris Spencer;4027.225500
69;Rosie Hunt;rosie_hunt@biz.com;Boris Spencer;3068.172300
70;Percy Sherwood;percy_sherwood@biz.com;Boris Spencer;4132.389900
